"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"d:\react-native\carzoo\src\components\button\button.component.js", "JavaScript", 13, 0, 3, 3, 19
"d:\react-native\carzoo\src\components\carousel\carousel.component.js", "JavaScript", 102, 0, 1, 9, 112
"d:\react-native\carzoo\src\components\cart\add-cart.component.js", "JavaScript", 47, 0, 0, 4, 51
"d:\react-native\carzoo\src\components\cart\cart-container.component.js", "JavaScript", 5, 0, 0, 2, 7
"d:\react-native\carzoo\src\components\cart\cart-float.component.js", "JavaScript", 50, 0, 0, 5, 55
"d:\react-native\carzoo\src\components\date-time\date.component.js", "JavaScript", 39, 0, 0, 3, 42
"d:\react-native\carzoo\src\components\date-time\time.component.js", "JavaScript", 46, 0, 0, 3, 49
"d:\react-native\carzoo\src\components\form-control\input-control.component.js", "JavaScript", 69, 0, 0, 5, 74
"d:\react-native\carzoo\src\components\header\header.component.js", "JavaScript", 49, 0, 0, 2, 51
"d:\react-native\carzoo\src\components\internet-connection\check-connection.component.js", "JavaScript", 6, 0, 0, 2, 8
"d:\react-native\carzoo\src\components\loading\loading.component.js", "JavaScript", 16, 0, 0, 4, 20
"d:\react-native\carzoo\src\components\mechanic\compact-mechanic.js", "JavaScript", 36, 0, 0, 4, 40
"d:\react-native\carzoo\src\components\no-order\no-order.component.js", "JavaScript", 21, 0, 0, 5, 26
"d:\react-native\carzoo\src\components\spacer\spacer.component.js", "JavaScript", 42, 0, 0, 6, 48
"d:\react-native\carzoo\src\components\toast-message\toast.component.js", "JavaScript", 10, 0, 0, 2, 12
"d:\react-native\carzoo\src\components\typography\price-text.component.js", "JavaScript", 12, 0, 0, 2, 14
"d:\react-native\carzoo\src\components\typography\text.component.js", "JavaScript", 79, 0, 0, 7, 86
"d:\react-native\carzoo\src\components\utility\safe-area.component.js", "JavaScript", 7, 0, 0, 2, 9
"d:\react-native\carzoo\src\components\validation\validate_wrapper.js", "JavaScript", 12, 0, 14, 6, 32
"d:\react-native\carzoo\src\components\validation\validation.js", "JavaScript", 19, 0, 0, 2, 21
"d:\react-native\carzoo\src\features\account\components\account.styles.js", "JavaScript", 64, 0, 0, 11, 75
"d:\react-native\carzoo\src\features\account\screens\account.screen.js", "JavaScript", 35, 0, 0, 2, 37
"d:\react-native\carzoo\src\features\account\screens\admin-login.screen.js", "JavaScript", 107, 0, 0, 3, 110
"d:\react-native\carzoo\src\features\account\screens\changepassword.screen.js", "JavaScript", 87, 0, 0, 6, 93
"d:\react-native\carzoo\src\features\account\screens\forogt-password.screen.js", "JavaScript", 97, 0, 0, 4, 101
"d:\react-native\carzoo\src\features\account\screens\login.screen.js", "JavaScript", 114, 0, 0, 4, 118
"d:\react-native\carzoo\src\features\account\screens\register.screen.js", "JavaScript", 148, 0, 1, 8, 157
"d:\react-native\carzoo\src\features\account\screens\reset-password.screen.js", "JavaScript", 90, 0, 0, 8, 98
"d:\react-native\carzoo\src\features\account\screens\verify.screen.js", "JavaScript", 101, 0, 0, 5, 106
"d:\react-native\carzoo\src\features\admin\components\manage-profile.component.js", "JavaScript", 132, 0, 14, 11, 157
"d:\react-native\carzoo\src\features\admin\components\order-card.component.js", "JavaScript", 30, 0, 0, 2, 32
"d:\react-native\carzoo\src\features\admin\components\profile-card.component.js", "JavaScript", 41, 0, 0, 2, 43
"d:\react-native\carzoo\src\features\admin\screens\add-user.screen.js", "JavaScript", 180, 0, 0, 9, 189
"d:\react-native\carzoo\src\features\admin\screens\admin-profile.screen.js", "JavaScript", 125, 0, 5, 9, 139
"d:\react-native\carzoo\src\features\admin\screens\agent-list.screen.js", "JavaScript", 74, 0, 3, 7, 84
"d:\react-native\carzoo\src\features\admin\screens\home.screen.js", "JavaScript", 55, 0, 0, 5, 60
"d:\react-native\carzoo\src\features\admin\screens\manage-profile.screen.js", "JavaScript", 19, 0, 0, 5, 24
"d:\react-native\carzoo\src\features\admin\screens\order-list.screen.js", "JavaScript", 212, 0, 0, 14, 226
"d:\react-native\carzoo\src\features\admin\screens\order-summary.js", "JavaScript", 142, 0, 1, 7, 150
"d:\react-native\carzoo\src\features\admin\screens\profile-view.screen.js", "JavaScript", 137, 0, 0, 5, 142
"d:\react-native\carzoo\src\features\agent\components\profile-card.component.js", "JavaScript", 41, 0, 0, 2, 43
"d:\react-native\carzoo\src\features\agent\components\swipe-button.component.js", "JavaScript", 43, 0, 7, 4, 54
"d:\react-native\carzoo\src\features\agent\screens\home.screen.js", "JavaScript", 170, 0, 0, 14, 184
"d:\react-native\carzoo\src\features\agent\screens\order-summary.js", "JavaScript", 155, 0, 0, 8, 163
"d:\react-native\carzoo\src\features\agent\screens\profile.screen.js", "JavaScript", 88, 0, 0, 9, 97
"d:\react-native\carzoo\src\features\cart\components\address-card.component.js", "JavaScript", 83, 0, 3, 8, 94
"d:\react-native\carzoo\src\features\cart\components\cart.component.js", "JavaScript", 78, 0, 0, 8, 86
"d:\react-native\carzoo\src\features\cart\components\cart.styles.js", "JavaScript", 10, 0, 0, 2, 12
"d:\react-native\carzoo\src\features\cart\components\payment.component.js", "JavaScript", 9, 0, 0, 2, 11
"d:\react-native\carzoo\src\features\cart\screens\address.screen.js", "JavaScript", 156, 0, 1, 8, 165
"d:\react-native\carzoo\src\features\cart\screens\cart.screen.js", "JavaScript", 169, 0, 0, 8, 177
"d:\react-native\carzoo\src\features\cart\screens\checkout.screen.js", "JavaScript", 276, 0, 1, 17, 294
"d:\react-native\carzoo\src\features\cart\screens\order.screen.js", "JavaScript", 47, 0, 1, 4, 52
"d:\react-native\carzoo\src\features\home\components\home.component.js", "JavaScript", 33, 0, 0, 3, 36
"d:\react-native\carzoo\src\features\home\screens\home.screen.js", "JavaScript", 55, 0, 0, 3, 58
"d:\react-native\carzoo\src\features\insurance-and-emission\components\add-document.component.js", "JavaScript", 460, 0, 6, 30, 496
"d:\react-native\carzoo\src\features\insurance-and-emission\components\document-card.component.js", "JavaScript", 136, 0, 0, 7, 143
"d:\react-native\carzoo\src\features\insurance-and-emission\screens\add-document.screen.js", "JavaScript", 26, 0, 1, 4, 31
"d:\react-native\carzoo\src\features\insurance-and-emission\screens\documents.screens.js", "JavaScript", 94, 0, 0, 6, 100
"d:\react-native\carzoo\src\features\map\components\map-callout.component.js", "JavaScript", 5, 0, 0, 2, 7
"d:\react-native\carzoo\src\features\map\components\search.component.js", "JavaScript", 33, 0, 0, 2, 35
"d:\react-native\carzoo\src\features\map\screens\map.screen.js", "JavaScript", 254, 0, 18, 15, 287
"d:\react-native\carzoo\src\features\mechanic\components\address-card.component.js", "JavaScript", 53, 0, 0, 5, 58
"d:\react-native\carzoo\src\features\mechanic\components\location-check.service.js", "JavaScript", 0, 0, 0, 1, 1
"d:\react-native\carzoo\src\features\mechanic\screens\address.screen.js", "JavaScript", 137, 0, 0, 6, 143
"d:\react-native\carzoo\src\features\mechanic\screens\drop-mechanic-location.screen.js", "JavaScript", 127, 0, 1, 8, 136
"d:\react-native\carzoo\src\features\mechanic\screens\mechanic-profile.screen.js", "JavaScript", 0, 0, 0, 1, 1
"d:\react-native\carzoo\src\features\mechanic\screens\mechanic.screen.js", "JavaScript", 16, 0, 0, 2, 18
"d:\react-native\carzoo\src\features\mechanic\screens\popup.js", "JavaScript", 0, 0, 33, 2, 35
"d:\react-native\carzoo\src\features\mechanic\screens\profile.screen.js", "JavaScript", 92, 0, 0, 8, 100
"d:\react-native\carzoo\src\features\no-internet-connection\no-internet-connection.screen.js", "JavaScript", 67, 0, 1, 5, 73
"d:\react-native\carzoo\src\features\periodic-service\components\periodic-service-info.component.js", "JavaScript", 110, 0, 0, 7, 117
"d:\react-native\carzoo\src\features\periodic-service\screens\periodic-service-details.screen.js", "JavaScript", 62, 0, 0, 8, 70
"d:\react-native\carzoo\src\features\periodic-service\screens\periodic-service.screen.js", "JavaScript", 86, 0, 0, 4, 90
"d:\react-native\carzoo\src\features\profile\components\agent-card.component.js", "JavaScript", 50, 0, 0, 5, 55
"d:\react-native\carzoo\src\features\profile\components\order-card.component.js", "JavaScript", 39, 0, 0, 2, 41
"d:\react-native\carzoo\src\features\profile\components\profile-photo-container.component.js", "JavaScript", 22, 0, 0, 4, 26
"d:\react-native\carzoo\src\features\profile\components\service-status.component.js", "JavaScript", 67, 0, 0, 5, 72
"d:\react-native\carzoo\src\features\profile\screens\my-car.screen.js", "JavaScript", 241, 0, 0, 6, 247
"d:\react-native\carzoo\src\features\profile\screens\my-order.screen.js", "JavaScript", 76, 0, 0, 6, 82
"d:\react-native\carzoo\src\features\profile\screens\my-profile.screens.js", "JavaScript", 115, 0, 0, 7, 122
"d:\react-native\carzoo\src\features\profile\screens\order-summary.screen.js", "JavaScript", 170, 0, 0, 9, 179
"d:\react-native\carzoo\src\features\profile\screens\profile.screens.js", "JavaScript", 88, 0, 0, 8, 96
"d:\react-native\carzoo\src\infrastructure\navigation\account.navigator.js", "JavaScript", 30, 0, 0, 3, 33
"d:\react-native\carzoo\src\infrastructure\navigation\admin-home.navigator.js", "JavaScript", 78, 0, 0, 3, 81
"d:\react-native\carzoo\src\infrastructure\navigation\admin.navigator.js", "JavaScript", 39, 0, 0, 4, 43
"d:\react-native\carzoo\src\infrastructure\navigation\agent-home.navigator.js", "JavaScript", 31, 0, 0, 2, 33
"d:\react-native\carzoo\src\infrastructure\navigation\agent.navigator.js", "JavaScript", 59, 0, 0, 4, 63
"d:\react-native\carzoo\src\infrastructure\navigation\app.navigator.js", "JavaScript", 104, 0, 0, 3, 107
"d:\react-native\carzoo\src\infrastructure\navigation\cart.navigator.js", "JavaScript", 24, 0, 0, 4, 28
"d:\react-native\carzoo\src\infrastructure\navigation\document.navigator.js", "JavaScript", 22, 0, 0, 2, 24
"d:\react-native\carzoo\src\infrastructure\navigation\home.navigator.js", "JavaScript", 63, 0, 0, 3, 66
"d:\react-native\carzoo\src\infrastructure\navigation\index.js", "JavaScript", 30, 0, 0, 3, 33
"d:\react-native\carzoo\src\infrastructure\navigation\mechanic-home.navigator.js", "JavaScript", 55, 0, 0, 4, 59
"d:\react-native\carzoo\src\infrastructure\navigation\mechanic.navigator.js", "JavaScript", 31, 0, 0, 2, 33
"d:\react-native\carzoo\src\infrastructure\navigation\profile.navigator.js", "JavaScript", 27, 0, 0, 3, 30
"d:\react-native\carzoo\src\infrastructure\navigation\top-navigation.navigator.js", "JavaScript", 0, 0, 0, 1, 1
"d:\react-native\carzoo\src\infrastructure\theme\colors.js", "JavaScript", 28, 0, 0, 1, 29
"d:\react-native\carzoo\src\infrastructure\theme\fonts.js", "JavaScript", 21, 0, 0, 3, 24
"d:\react-native\carzoo\src\infrastructure\theme\index.js", "JavaScript", 13, 0, 0, 2, 15
"d:\react-native\carzoo\src\infrastructure\theme\sizes.js", "JavaScript", 1, 0, 0, 1, 2
"d:\react-native\carzoo\src\infrastructure\theme\spacing.js", "JavaScript", 5, 0, 0, 2, 7
"d:\react-native\carzoo\src\services\Cart\cart.context.js", "JavaScript", 45, 0, 0, 5, 50
"d:\react-native\carzoo\src\services\account\components\account.styles.js", "JavaScript", 49, 0, 0, 9, 58
"d:\react-native\carzoo\src\services\account\screens\account.screen.js", "JavaScript", 46, 0, 0, 2, 48
"d:\react-native\carzoo\src\services\account\screens\login.screen.js", "JavaScript", 70, 0, 0, 3, 73
"d:\react-native\carzoo\src\services\account\screens\register.screen.js", "JavaScript", 81, 0, 0, 3, 84
"d:\react-native\carzoo\src\services\address\address.context.js", "JavaScript", 89, 0, 0, 10, 99
"d:\react-native\carzoo\src\services\address\address.service.js", "JavaScript", 0, 0, 0, 1, 1
"d:\react-native\carzoo\src\services\agent-mechanic\agent-mechanic.context.js", "JavaScript", 118, 0, 6, 7, 131
"d:\react-native\carzoo\src\services\authentication\authentication.context.js", "JavaScript", 314, 0, 2, 17, 333
"d:\react-native\carzoo\src\services\authentication\authentication.service.js", "JavaScript", 13, 0, 0, 2, 15
"d:\react-native\carzoo\src\services\date-time\date-time.service.js", "JavaScript", 53, 0, 2, 5, 60
"d:\react-native\carzoo\src\services\date-time\date.context.js", "JavaScript", 24, 0, 0, 3, 27
"d:\react-native\carzoo\src\services\date-time\time.context.js", "JavaScript", 28, 0, 0, 4, 32
"d:\react-native\carzoo\src\services\documents\emission-document.context.js", "JavaScript", 99, 0, 4, 10, 113
"d:\react-native\carzoo\src\services\documents\insurance-document.context.js", "JavaScript", 99, 0, 4, 10, 113
"d:\react-native\carzoo\src\services\internetConnectionCheck\internetConnectionCheck.context.js", "JavaScript", 21, 0, 0, 5, 26
"d:\react-native\carzoo\src\services\location\location.context.js", "JavaScript", 26, 0, 0, 4, 30
"d:\react-native\carzoo\src\services\location\location.service.js", "JavaScript", 10, 0, 6, 2, 18
"d:\react-native\carzoo\src\services\location\mock\index.js", "JavaScript", 2, 0, 0, 2, 4
"d:\react-native\carzoo\src\services\location\mock\location-mock.json", "JSON", 0, 18, 0, 1, 19
"d:\react-native\carzoo\src\services\mycar\my-car.context.js", "JavaScript", 55, 0, 0, 9, 64
"d:\react-native\carzoo\src\services\mycar\my-car.service.js", "JavaScript", 0, 0, 0, 1, 1
"d:\react-native\carzoo\src\services\order-list\booking-order.context.js", "JavaScript", 142, 0, 2, 7, 151
"d:\react-native\carzoo\src\services\periodicservice\mock\index.js", "JavaScript", 4, 0, 0, 2, 6
"d:\react-native\carzoo\src\services\periodicservice\mock\periodicService.json", "JSON", 0, 35, 0, 0, 35
"d:\react-native\carzoo\src\services\periodicservice\periodicservice.context.js", "JavaScript", 36, 0, 0, 5, 41
"d:\react-native\carzoo\src\services\periodicservice\periodicservice.service.js", "JavaScript", 12, 0, 0, 2, 14
"d:\react-native\carzoo\src\services\profile-details\profile.context.js", "JavaScript", 56, 0, 0, 7, 63
"d:\react-native\carzoo\src\services\profile-details\profile.service.js", "JavaScript", 0, 0, 0, 1, 1
"d:\react-native\carzoo\src\utils\env.js", "JavaScript", 1, 0, 1, 1, 3
"Total", "-", 8863, 53, 142, 670, 9728
